,inference_results
517,27.168446
518,9.020031
519,72.10962
520,69.51645
521,80.88498
522,58.670277
523,79.616066
524,27.514893
525,57.037045
526,50.16974
527,18.513105
528,19.744751
529,76.144806
530,23.81839
531,8.749952
532,67.32055
533,56.28524
534,88.8995
535,14.095398
536,43.195538
537,53.85034
538,86.14913
539,34.162296
540,12.767788
541,1.6255113
542,17.716726
543,8.493527
544,40.510815
545,42.428593
546,35.552227
547,25.551874
548,91.79637
549,68.447426
550,56.296055
551,25.00389
552,74.480064
553,95.139404
554,35.839127
555,31.815598
556,68.78309
557,37.709515
558,66.90659
559,4.92442
560,70.846924
561,31.708464
562,96.18286
563,11.405804
564,77.02056
565,2.7521737
566,89.95361
567,17.850716
568,92.09517
569,99.42807
570,55.187782
571,36.664246
572,40.914967
573,49.53175
574,82.74074
575,6.3612084
576,53.999855
577,39.39547
578,29.817356
579,92.750496
580,11.140795
581,38.22091
582,39.51295
583,70.30176
584,18.962383
585,21.763487
586,6.2922378
587,8.858321
588,81.336136
589,7.1009607
590,4.382876
591,81.98318
592,9.145803
593,78.12822
594,11.079471
595,21.482578
596,1.396859
597,21.776226
598,2.1258051
599,19.187899
600,59.92362
601,0.4225667
602,91.58844
603,0.80509484
604,29.287226
605,65.673454
606,41.67295
607,92.47332
608,6.9476056
609,64.692276
610,85.936584
611,44.80576
612,14.818921
613,55.19538
614,96.96483
615,41.122528
616,80.78409
617,90.20666
618,3.2917438
619,36.388832
620,26.123549
621,15.85028
622,54.632286
623,52.079407
624,36.05399
625,69.104126
626,25.792173
627,70.07508
628,18.798763
629,77.92407
630,74.1976
631,81.452675
632,60.80112
633,99.39723
634,67.745705
635,86.02475
636,43.42
637,88.321915
638,76.677
639,53.4178
640,94.16373
641,64.406715
642,94.704216
643,71.38783
644,88.28112
645,57.583984
646,53.655384
647,23.729717
648,26.357508
649,60.015343
650,62.786114
651,88.487465
652,60.134895
653,90.79854
654,39.453606
655,46.422215
656,63.773727
657,24.5738
658,37.908092
659,24.75948
660,3.4556139
661,31.57612
662,1.6069444
663,99.37538
664,42.817238
665,46.897858
666,24.654991
667,56.621216
668,73.45281
669,67.33631
670,76.65025
671,21.87327
672,66.133934
673,59.458664
674,77.53398
675,41.984722
676,11.506131
677,81.85732
678,60.941193
679,12.379023
680,28.804808
681,64.33974
682,44.24638
683,21.441378
684,33.36994
685,61.631176
686,11.71783
687,62.550182
688,69.85745
689,72.7896
690,47.985004
691,24.18344
692,8.1208935
693,53.087814
694,40.78474
695,19.60595
696,93.59097
697,9.70683
698,19.281254
699,3.4299617
700,68.86029
701,50.884617
702,78.988785
703,61.192223
704,65.65653
705,10.449968
706,42.918392
707,34.754997
708,66.30562
709,7.3561234
710,98.65431
711,64.33301
712,78.257256
713,23.288553
714,93.29951
715,90.25256
716,37.787415
717,21.950926
718,45.60542
719,21.766384
720,19.159786
721,56.36347
722,84.481735
723,73.55701
724,43.626595
725,40.69827
726,43.438774
727,83.96377
728,20.310276
729,12.485437
730,51.277283
731,25.391651
732,24.643255
733,94.44599
734,48.901344
735,75.594604
736,46.08916
737,10.985932
738,27.835754
739,86.165764
740,36.734055
741,42.428173
742,87.128746
743,1.7987925
744,86.07743
745,80.045845
746,51.848236
747,94.97774
748,72.74851
749,46.7394
750,13.263767
751,7.5847006
752,11.3782015
753,0.2994859
754,58.936127
755,59.5927
756,49.27302
757,74.8696
758,99.23918
759,24.43804
760,81.78944
761,36.26569
762,18.257376
763,16.854122
764,38.164593
765,22.775862
766,78.562935
767,54.69673
768,23.791615
769,92.35073
770,22.06384
771,59.699104
772,42.188583
773,26.18015
774,93.111275
775,34.131557
776,4.413597
777,5.2584887
778,78.8118
779,99.972115
780,81.763176
781,4.438391
782,3.4308815
783,52.47966
784,86.797646
785,54.386055
786,47.77701
787,29.301756
788,37.548244
789,32.19763
790,5.2351036
791,7.8281026
792,0.2765705
793,65.04301
794,53.602592
795,34.31107
796,1.5344555
797,78.95423
798,25.538754
799,94.45275
800,15.839732
801,52.652515
802,4.9001074
803,37.05008
804,6.4142017
805,21.34146
806,28.768698
807,47.337345
808,28.108679
809,82.99841
810,83.25568
811,18.946375
812,79.879364
813,39.399334
814,25.950481
815,6.9478946
816,46.49909
817,74.02716
818,85.5311
819,53.948647
820,28.628956
821,22.591248
822,91.22596
823,88.752266
824,31.644793
825,69.40579
826,96.48942
827,66.20591
828,39.349873
829,96.392685
830,6.875272
831,36.65676
832,5.5365887
833,21.993189
834,88.55008
835,73.42724
836,73.48204
837,73.87246
838,55.95487
839,48.65106
840,32.900986
841,15.001942
842,45.92464
843,64.35479
844,18.949505
845,52.230465
846,72.79822
847,74.00323
848,71.43631
849,79.9056
850,85.996895
851,45.429615
852,25.05731
853,35.21681
854,42.671688
855,25.590221
856,6.88434
857,43.681103
858,14.898806
859,82.139366
860,86.51262
861,21.020998
862,55.948864
863,76.24386
864,19.700127
865,29.604893
866,11.264427
867,24.200607
868,96.785576
869,35.692898
870,76.2124
871,41.03975
872,32.012005
873,31.449934
874,93.7641
875,98.26992
876,28.604738
877,61.314632
878,9.367761
879,75.94019
880,59.424797
881,30.849272
882,68.69107
883,37.682644
884,70.15438
885,74.659096
886,81.74297
887,12.939173
888,44.04233
889,85.20914
890,18.091736
891,14.663506
892,42.235344
893,55.625473
894,39.144955
895,76.33053
896,75.2989
897,64.06896
898,27.3532
899,68.24693
900,68.28028
901,2.3012893
902,14.319138
903,36.823204
904,96.98065
905,13.147619
906,75.13554
907,86.63587
908,79.98781
909,27.620073
910,89.719505
911,97.04289
912,33.064472
913,40.302032
914,44.01155
915,40.93139
916,78.53722
917,95.206154
918,77.28697
919,40.34318
920,74.733154
921,21.526138
922,55.7898
923,50.118988
924,0.48994666
925,37.645836
926,15.426491
927,7.525952
928,71.67245
929,18.813385
930,86.16728
931,65.11581
932,34.240807
933,93.13809
934,64.87187
935,13.127434
936,35.56479
937,38.242355
938,77.42584
939,17.050678
940,92.513626
941,90.5629
942,56.283264
943,60.747917
944,40.48575
945,85.91958
946,2.930334
947,60.717594
948,5.32228
949,52.577137
950,84.07578
951,52.505142
952,26.67942
953,59.780796
954,34.724583
955,58.37813
956,24.653269
957,26.640318
958,47.83013
959,1.7799505
960,21.955334
961,91.67794
962,5.749086
963,7.137708
964,41.60831
965,30.336905
966,23.444796
967,77.95938
968,66.18308
969,76.46337
970,27.392288
971,65.97465
972,54.87977
973,47.673435
974,71.734726
975,12.410486
976,95.78635
977,27.267761
978,27.688921
979,25.056673
980,59.426548
981,15.948643
982,15.382399
983,80.00059
984,85.61981
985,3.7974744
986,49.20172
987,73.85724
988,65.19397
989,34.787903
990,72.78739
991,93.98873
992,62.489056
993,35.452164
994,93.9886
995,80.61744
996,92.9192
997,83.742455
998,29.461025
999,48.1711
1000,24.97718
1001,73.79485
1002,41.732628
1003,54.257854
1004,30.216152
1005,23.232685
1006,72.3391
1007,39.523384
1008,42.11936
1009,19.352167
1010,35.013252
1011,0.871259
1012,63.67146
1013,62.16294
1014,6.374024
1015,80.21559
1016,9.088515
1017,95.66564
1018,20.870607
1019,65.020645
1020,31.506771
1021,92.84927
1022,68.94594
1023,20.596493
1024,8.082761
1025,25.933743
1026,82.80938
1027,35.04964
1028,53.469143
1029,69.75715
1030,25.498575
1031,15.558575
1032,18.890419
1033,22.06133
1034,62.02343
1035,23.661251
1036,79.864174
1037,79.61716
1038,52.698704
1039,16.833347
1040,85.55794
1041,20.99725
1042,59.85525
1043,49.262943
1044,66.34281
1045,50.39042
1046,2.4970934
1047,99.048065
1048,77.71307
1049,95.42915
1050,89.20915
1051,6.3676343
1052,15.87411
1053,28.480639
1054,35.532578
1055,37.194374
1056,91.971725
1057,25.709549
1058,70.83088
1059,32.607197
1060,67.46727
1061,15.448953
1062,5.566019
1063,91.58496
1064,1.2831764
1065,90.20454
1066,20.68546
1067,53.58699
1068,75.869804
1069,29.994415
1070,35.561646
1071,40.780285
1072,44.046925
1073,63.000225
1074,11.712027
1075,48.24504
1076,84.783104
1077,87.5667
1078,0.42210746
1079,8.285525
1080,45.945454
1081,13.185228
1082,33.682495
1083,60.015713
1084,47.576176
1085,79.6706
1086,31.244307
1087,11.322436
1088,62.1408
1089,8.947773
1090,9.238862
1091,15.157179
1092,33.011703
1093,15.490116
1094,54.69461
1095,12.693738
1096,96.82309
1097,67.39303
1098,52.55939
1099,51.450268
1100,40.48769
1101,30.495668
1102,53.075665
1103,30.044437
1104,11.485402
1105,42.338253
1106,16.153316
1107,93.12753
1108,22.5644
1109,2.0286882
1110,78.13275
1111,18.895567
1112,55.338615
1113,23.814823
1114,78.92833
1115,96.00946
1116,85.93204
1117,28.663414
1118,29.402563
1119,31.94444
1120,97.28891
1121,35.562706
1122,25.49756
1123,0.055833187
1124,3.3199017
1125,60.18317
1126,91.394905
1127,77.403366
1128,45.53347
1129,39.562626
1130,93.90174
1131,97.818565
1132,93.35303
1133,11.40472
1134,15.92123
1135,74.92105
1136,22.884993
1137,41.134342
1138,73.86231
1139,77.16903
1140,71.26263
1141,26.604738
1142,1.3680943
1143,73.63644
1144,77.86459
1145,67.80187
1146,69.046295
1147,15.529962
1148,0.2519727
1149,94.97381
1150,3.432341
1151,26.134241
1152,77.6077
1153,41.60107
1154,81.83695
1155,2.1216998
1156,49.311565
1157,66.08895
1158,14.975018
1159,40.95114
1160,78.83057
1161,92.25664
1162,69.35665
1163,51.399895
1164,15.116379
1165,76.454994
1166,14.911929
1167,14.344554
1168,8.267175
1169,21.867561
1170,81.73316
1171,94.776566
1172,87.335014
1173,44.788803
1174,1.7384946
1175,89.567856
1176,22.498354
1177,27.70615
1178,58.396954
1179,47.8514
1180,90.97136
1181,54.0408
1182,54.59272
1183,4.6032796
1184,65.532394
1185,17.054672
1186,57.260582
1187,1.007375
1188,36.30728
1189,95.94071
1190,99.9801
1191,58.261063
1192,31.278131
1193,43.998318
1194,4.1363916
1195,12.874353
1196,77.57149
1197,78.04724
1198,0.13735858
1199,55.684353
1200,7.758251
1201,36.387196
1202,98.79041
1203,96.54507
1204,75.0696
1205,6.8862967
1206,85.407036
1207,47.511036
1208,78.86399
1209,60.592278
1210,75.53934
1211,78.151535
1212,17.31167
1213,51.44989
1214,29.727764
1215,69.58283
1216,41.845097
1217,15.668573
1218,94.73663
1219,21.784142
1220,0.8692147
1221,84.8605
1222,81.7492
1223,18.222618
1224,87.400276
1225,21.030294
1226,16.113543
1227,84.08056
1228,29.365845
1229,12.506121
1230,86.842606
1231,84.503944
1232,37.871742
1233,29.36974
1234,5.561229
1235,26.957218
1236,65.44744
1237,9.646729
1238,85.32406
1239,91.84237
1240,1.7470256
1241,18.59402
1242,15.184968
1243,54.422997
1244,1.6580935
1245,41.39017
1246,2.7428696
1247,73.621025
1248,6.74665
1249,5.562142
1250,96.435715
1251,15.086776
1252,64.58455
1253,70.39274
1254,28.275251
1255,77.108665
1256,1.8956921
1257,1.633786
1258,46.4354
1259,92.94683
1260,50.864166
1261,68.143585
1262,88.405365
1263,76.59253
1264,93.64721
1265,98.25582
1266,9.874145
1267,81.639435
1268,28.296642
1269,21.32283
1270,4.943317
1271,14.320545
1272,27.798748
1273,74.60597
1274,59.515316
1275,16.929337
1276,79.41561
1277,90.37217
1278,63.40395
1279,34.422504
1280,36.441742
1281,75.462425
1282,54.896397
1283,58.84668
1284,7.317007
1285,30.721247
1286,97.28639
1287,68.888054
1288,21.642004
1289,45.00151
1290,51.978287
1291,88.837875
1292,78.04287
1293,21.245062
1294,22.117052
1295,93.22942
1296,47.08618
1297,84.080795
1298,54.487373
1299,38.804302
1300,50.71029
1301,97.40309
1302,45.963104
1303,24.916126
1304,94.608925
1305,13.080831
1306,16.90799
1307,59.352238
1308,9.74861
1309,73.873604
1310,95.98754
1311,38.310905
1312,29.060516
1313,59.61555
1314,39.787308
1315,39.660114
1316,87.41611
1317,81.65715
1318,32.06147
1319,37.459923
1320,10.138415
1321,54.35205
1322,44.92258
1323,30.937807
1324,36.476173
1325,2.600979
1326,41.89788
1327,47.142334
1328,41.97471
1329,67.431076
1330,14.7220335
1331,57.045464
1332,49.300774
1333,55.322803
1334,35.79771
1335,44.71956
1336,74.42416
1337,30.688005
1338,14.130251
1339,58.862755
1340,48.038006
1341,98.70667
1342,39.27141
1343,48.07822
1344,60.587177
1345,62.887665
1346,24.648563
1347,44.30538
1348,6.107803
1349,1.8194329
1350,59.892197
1351,13.903595
1352,28.724308
1353,65.66813
1354,86.4024
1355,25.61893
1356,73.351234
1357,74.884384
1358,44.449734
1359,96.05447
1360,74.243385
1361,45.20965
1362,80.25815
1363,78.27828
1364,21.936928
1365,18.267471
1366,54.030067
1367,7.985097
1368,79.22103
1369,70.84421
1370,8.144413
1371,14.105931
1372,28.462673
1373,39.456387
1374,93.53543
1375,28.226217
1376,51.893257
1377,89.77972
1378,52.74565
1379,93.946106
1380,95.303314
1381,45.45451
1382,56.78437
1383,36.98451
1384,60.251072
1385,33.849545
1386,30.932638
1387,69.87626
1388,4.585635
1389,28.409143
1390,38.69255
1391,91.34049
1392,2.3812482
1393,18.12055
1394,7.8527136
1395,8.4948225
1396,57.545345
1397,22.919168
1398,32.97293
1399,74.540726
1400,98.44964
1401,75.87569
1402,73.86354
1403,31.169317
1404,1.5709397
1405,60.038383
1406,94.33606
1407,75.59584
1408,90.55711
1409,83.21717
1410,57.4938
1411,78.82304
1412,69.56216
1413,34.33457
1414,82.13609
1415,85.91351
1416,23.41365
1417,0.023361057
1418,41.057636
1419,25.60203
1420,51.80354
1421,16.775448
1422,56.71391
1423,52.390915
1424,53.824318
1425,43.752472
1426,55.34901
1427,9.978395
1428,44.110607
1429,42.595383
1430,38.29814
1431,15.883052
1432,6.193774
1433,66.298485
1434,53.433395
1435,43.848423
1436,40.68898
1437,23.746347
1438,81.957664
1439,49.52488
1440,80.36728
1441,38.800636
1442,32.537224
1443,17.230566
1444,82.73061
1445,18.126703
1446,65.460205
1447,10.776822
1448,55.53522
1449,36.07572
1450,63.06834
1451,77.407036
1452,59.431572
1453,82.08108
1454,87.91772
1455,50.37236
1456,48.3421
1457,46.26379
1458,46.049362
1459,9.350306
1460,80.23478
1461,26.051563
1462,77.35227
1463,13.4390545
1464,77.68077
1465,51.1649
1466,21.548172
1467,30.870783
1468,0.8742986
1469,63.734238
1470,29.585533
1471,8.652175
1472,43.279526
1473,78.10845
1474,25.028502
1475,44.101868
1476,17.795555
1477,88.94146
1478,94.30224
1479,83.41636
1480,28.385529
1481,12.571966
1482,85.56068
1483,76.78932
1484,12.835007
1485,79.720406
1486,37.939304
1487,73.109215
1488,5.8256316
1489,69.254776
1490,91.4276
1491,88.41533
1492,84.78533
1493,15.0750065
1494,13.660636
1495,66.76531
1496,58.693825
1497,75.32627
1498,49.769516
1499,63.53949
1500,34.75827
1501,30.512276
1502,97.66621
1503,27.91477
1504,44.54246
1505,20.806677
1506,46.801003
1507,72.20749
1508,75.202415
1509,5.4706235
1510,50.87492
1511,28.237774
1512,55.99344
1513,97.65888
1514,92.953224
1515,59.44101
1516,96.49377
1517,48.157864
1518,19.419992
1519,44.01575
1520,90.88953
1521,79.73222
1522,82.77659
1523,77.45565
1524,51.873177
1525,7.611058
1526,55.640877
1527,88.837875
1528,9.170201
1529,18.11692
1530,60.261806
1531,17.776781
1532,9.28185
1533,0.80436
1534,1.5855659
1535,1.4472436
1536,49.85886
1537,36.479454
1538,2.1194015
1539,71.4682
1540,75.886314
1541,6.778313
1542,75.29463
1543,24.555658
1544,53.833626
1545,59.539684
1546,44.288616
1547,84.1198
1548,84.1655
1549,73.62802
1550,65.55419
1551,7.645974
1552,26.056818
1553,64.07399
1554,0.17063841
1555,85.90143
1556,41.06534
1557,29.29998
1558,14.93998
1559,93.89879
1560,14.055758
1561,99.53805
1562,40.165585
1563,34.66066
1564,18.756273
1565,24.98419
1566,11.277611
1567,47.68376
1568,16.637167
1569,7.742176
1570,56.775043
1571,76.79609
1572,69.684715
1573,80.37673
1574,93.25444
1575,5.9944167
1576,65.90992
1577,66.28028
1578,14.747618
1579,99.529526
1580,60.52922
1581,19.606817
1582,96.79172
1583,45.961624
1584,90.229744
1585,52.72445
1586,93.974655
1587,27.735218
1588,59.79158
1589,48.778595
1590,41.12481
1591,35.38549
1592,45.941856
1593,36.83536
1594,31.017477
1595,93.59914
1596,52.542377
1597,98.22138
1598,4.4782047
1599,60.254406
1600,90.627945
1601,38.017376
1602,8.706834
1603,26.37045
1604,95.50052
1605,91.74508
1606,67.708244
1607,47.05305
1608,31.770164
1609,64.68641
1610,96.36195
1611,72.46426
1612,41.80831
1613,11.281534
1614,40.578796
1615,32.32216
1616,59.315857
1617,19.335041
1618,20.026724
1619,0.77584076
1620,45.260868
1621,88.91793
1622,37.605663
1623,19.929863
1624,38.661564
1625,93.75228
1626,69.943375
1627,83.05293
1628,48.26164
1629,47.735744
1630,88.718
1631,75.72755
1632,40.849815
1633,55.21613
1634,44.67218
1635,38.38433
1636,46.28221
1637,2.421805
1638,61.238487
1639,76.43456
1640,40.633347
1641,7.9323845
1642,20.68109
1643,89.83756
1644,64.042
1645,89.02654
1646,49.166824
1647,39.204136
1648,84.2651
1649,68.22005
1650,47.699215
1651,56.033062
1652,0.7117318
1653,9.438574
1654,70.040886
1655,10.58579
1656,52.728245
1657,24.117619
1658,47.051056
1659,10.275551
1660,16.373247
1661,47.68604
1662,26.657904
1663,66.62298
1664,53.66283
1665,91.93083
1666,72.2605
1667,96.705
1668,13.118244
1669,57.122375
1670,19.727776
1671,43.4612
1672,83.53521
1673,90.72025
1674,51.356297
1675,44.28151
1676,68.67079
1677,88.22317
1678,3.3683097
1679,91.13622
1680,78.029915
1681,33.76118
1682,50.375084
1683,23.080091
1684,72.615135
1685,12.842193
1686,0.5104758
1687,36.81229
1688,14.350178
1689,20.247381
1690,57.165665
1691,7.5678544
1692,57.433937
1693,15.234791
1694,34.590576
1695,32.957127
1696,85.26327
1697,31.670666
1698,91.55924
1699,88.98107
1700,35.52015
1701,81.744286
1702,25.441435
1703,41.894325
1704,59.723988
1705,78.747604
1706,51.008392
1707,71.0549
1708,16.368591
1709,8.083764
1710,10.343977
1711,15.878728
1712,71.30543
1713,90.188545
1714,20.659126
1715,69.18007
1716,34.65676
1717,74.93669
1718,60.483578
1719,38.43483
1720,3.275168
1721,58.410503
1722,58.784595
1723,94.50951
1724,65.42673
1725,45.341114
1726,60.085533
1727,8.302457
1728,43.06936
1729,79.04964
1730,8.1788025
1731,0.47504577
1732,34.374657
1733,31.27074
1734,97.226425
1735,97.933105
1736,83.07241
1737,22.988522
1738,51.470924
1739,56.985733
1740,61.277157
1741,16.541338
1742,78.06116
1743,38.93578
1744,40.85579
1745,27.069134
1746,69.97467
1747,21.397972
1748,46.313393
1749,82.20402
1750,81.4515
1751,39.828922
1752,92.86536
1753,25.920986
1754,11.327416
1755,94.8462
1756,13.748611
1757,78.44202
1758,37.630646
1759,63.864132
1760,19.330376
1761,92.759735
1762,54.27571
1763,22.893286
1764,53.758053
1765,56.49572
1766,0.9979649
1767,9.757939
1768,44.323395
1769,81.60205
1770,77.84615
1771,74.816376
1772,44.82365
1773,26.689034
1774,36.717964
1775,94.277725
1776,46.598034
1777,53.783073
1778,93.163345
1779,18.480179
1780,35.2094
1781,50.487293
1782,56.57697
1783,82.9248
1784,87.04001
1785,19.216736
1786,91.270966
1787,34.837524
1788,53.617912
1789,90.678795
1790,81.27158
1791,59.302105
1792,2.6929312
1793,94.18821
1794,61.691605
1795,62.529137
1796,90.80559
1797,69.953285
1798,59.648315
1799,77.769264
1800,39.397385
1801,48.764328
1802,12.401139
1803,38.88597
1804,26.197155
1805,14.504756
1806,96.19258
1807,76.21414
1808,55.832592
1809,69.141945
1810,86.157555
1811,58.73172
1812,1.8828579
1813,36.117542
1814,30.960812
1815,81.70252
1816,68.22801
1817,7.869025
1818,58.561413
1819,53.50875
1820,2.6156368
1821,34.70976
1822,66.14109
1823,36.04931
1824,73.4814
1825,90.55776
1826,49.576435
1827,67.27749
1828,50.809975
1829,6.450137
1830,81.00781
1831,13.135173
1832,31.73751
1833,26.81779
1834,21.360022
1835,48.67674
1836,0.129546
1837,13.719212
1838,37.92631
1839,19.954538
1840,75.76306
1841,51.358746
1842,71.141655
1843,53.595833
1844,28.12345
1845,8.509568
1846,21.905107
1847,34.60139
1848,70.589836
1849,95.9383
1850,36.125347
1851,87.99956
1852,37.79247
1853,76.24515
1854,64.43556
1855,54.973976
1856,48.938725
1857,2.0795438
1858,54.05988
